HBG1
HBA2
HBA1
HBG2
HBB
HBM
AHSP
PPBP
MOUSE-Acta2
GYPA
PF4
PRDX2
CA1
ALAS2
IGLC2
PTGDS
CA2
IGJ
BLVRB
GYPB
HMBS
MOUSE-Tubb5
MOUSE-Ctsl
MOUSE-Ldha
MOUSE-Tm4sf1
MOUSE-Eno1
MOUSE-Anxa1
MYL4
MOUSE-Atp6v1g1
MOUSE-Calr
MOUSE-Gsto1
MOUSE-Actb
MOUSE-Slc25a5
KIAA0101
IFIT1B
MOUSE-Dlk1
HMGB2
HIST1H4C
FCER1A
KLF1
MOUSE-Anxa2
HEMGN
C1QA
MOUSE-Mt1
MOUSE-Pkm
MOUSE-Gas5
MOUSE-H3f3b
MOUSE-Atp5b
MOUSE-Hmga2
MOUSE-Serbp1
IGLC3
MOUSE-Rps27l
HBE1
MOUSE-Cald1
PTTG1
MOUSE-Lmna
MOUSE-Esd
MOUSE-Rtn4
MOUSE-Cstb
HBZ
GNG11
MOUSE-S100a11
MOUSE-Ndufa4
MOUSE-Tnfrsf12a
MOUSE-B2m
MOUSE-Npm1
MOUSE-Slc25a3
MOUSE-Eef2
MOUSE-Lgals3
MOUSE-Arpc2
GP9
TUBA1B
MOUSE-S100a10
MOUSE-Bgn
MOUSE-Eef1g
MOUSE-Ranbp1
MOUSE-Calm1
MOUSE-Cdk4
MOUSE-Nme1
MOUSE-Prdx1
TUBB1
MOUSE-Rpl22
MOUSE-Eef1b2
MOUSE-Vim
MOUSE-Slc25a4
MOUSE-Naca
MOUSE-Rps26
MOUSE-Lamp1
MOUSE-Ppp1ca
MOUSE-Arpc1b
SDPR
HIST1H2AC
MOUSE-Txn1
ACRBP
MOUSE-Eif5a
MOUSE-Shfm1
MOUSE-Gnb2l1
MOUSE-Rps19
MOUSE-Cfl1
IGLL1
MOUSE-Rps24
MOUSE-Gnas
MOUSE-Myl12a
MOUSE-mt-Nd2
MYL3
MOUSE-Bsg
MOUSE-Rplp2
MOUSE-Cox6b1
MOUSE-Hint1
MOUSE-Cd63
SLC25A37
MOUSE-Ybx1
MOUSE-Rps3a1
MOUSE-Cox8a
MOUSE-Tmsb10
MOUSE-Cox4i1
HBD
C1QB
UROD
MOUSE-Hsp90ab1
MOUSE-Rpl26
MOUSE-Rpl23
MOUSE-Rpl32
MOUSE-Gm10260
RGS18
MOUSE-Rps15
FAM178B
MOUSE-Rpl4
MOUSE-Rps3
MOUSE-Rps9
MOUSE-Rplp1
MOUSE-Rps14
MOUSE-Malat1
SELENBP1
CLEC1B
APOC1
HLA-DQA1
MOUSE-Rpl14
MOUSE-Tmsb4x
MYL9
IGHM
MOUSE-mt-Nd4
MOUSE-S100a4
RHAG
MOUSE-Rpl8
MOUSE-Rps11
NRGN
TMEM40
MPO
CDC20
C1QTNF4
ITGA2B
CLEC10A
PRSS57
TK1
MKI67
MOUSE-Pfn1
BIRC5
HLA-DPA1
TUBB
CDK1
STMN1
TSC22D1
MOUSE-Rpl13a
UBE2C
AVP
HLA-DPB1
SNCA
MOUSE-Rplp0
TCL1A
SPINK2
MOUSE-Rps5
NUSAP1
CMTM5
RHCE
PTCRA
TOP2A
MOUSE-Fth1
LGALSL
CCNA2
SMIM1
MGST3
TREML1
CNRIP1
RRM2
RP11-1143G9.4
CENPF
MOUSE-mt-Cytb
CCNB2
CCNB1
PF4V1
TMEM56
HIST1H2BJ
HBQ1
CCL5
BPGM
KCNH2
CD9
CLU
CTD-2090I13.1
MOUSE-mt-Nd1
HES6
LCN2
SCT
TYMS
GATA2
DYNLL2
CKS2
UBAC1
C2orf88
CENPE
MOUSE-S100a6
DLGAP5
CLEC9A
CXCL10
LILRA4
CYTL1
GATA1
TMCC2
FECH
RFESD
KIAA0125
GZMK
TUBB4B
PLK1
CPOX
NCOA4
IGLC7
HPGDS
HSP90AA1
HMGA1
RP11-620J15.3
CD79A
AURKA
CCL4
MS4A1
GZMB
GFI1B
EPB42
MAP3K7CL
TUBG1
CALD1
PCNA
NUF2
CMC1
RHD
LY6G6F
IL8
TMEM14C
AP001189.4
C6orf25
GNLY
CD1C
EPCAM
C19orf77
UBE2T
PLEK
HSPD1
IFI27
CCL3
RAB27B
UROS
C1orf54
MYB
H1F0
MOUSE-Lgals1
CLDN5
LTBP1
EGFL7
CD36
HMMR
PRKAR2B
LAPTM4B
KLRB1
C1QC
MS4A3
LIMS1
SLC25A39
AURKB
CTSE
PDLIM1
GYPE
S100B
CD79B
IDO1
DMTN
SLC4A1
GCLM
MCM7
CTTN
IGHD
C12orf39
PTN
GMNN
NKG7
EXD3
HLA-DQB1
PPP1R14A
ALAD
DHRS9
TFRC
CXCL3
STXBP6
ASPM
PLD4
MPC2
NPW
FCGR3A
GSN
CDKN3
OAT
SPTA1
HLA-DRB1
HIST2H2AB
DNASE1L3
CCNE1
MZB1
TSPO2
CDCA3
NME4
ITM2C
TPM1
H2AFZ
DAAM1
ESAM
GLRX5
ENHO
AC002454.1
GMPR
NEK2
MINPP1
ALOX12
CTD-2319I12.1
DNAJA4
TRDC
NEXN
DUT
HLA-DRB5
FADS2
S100A12
PARVB
RP5-887A10.1
ACHE
SLC2A1
RP11-38P22.2
HLA-DRA
ADD2
TIMP3
MYBL2
TPM2
IRF7
AC147651.3
PRF1
MMRN1
STOM
PNMT
EPOR
TTK
SPON2
CTSW
KEL
DCAF12
